brand,title,productPageUrl,offerPrice,quantity,standardUpc
Multipet,"Multipet Lamb Chop Plush Dog Toy, Squeak, 24""",/ip/Multipet-Lamb-Chop-Plush-Dog-Toy-Squeak-24/36259030,12.57,6410,784369483888
Hartz Chew 'n Clean,Hartz Chew n Clean Tuff Bone Dog Toy,/ip/Hartz-Chew-n-Clean-Tuff-Bone-Dog-Toy-Medium-Color-Will-Vary/871948458,4.56,506,32700975289
Outward Hound,Nina Ottosson by Outward Hound Dog Brick Interactive Treat Puzzle Dog Toy,/ip/Nina-Ottosson-by-Outward-Hound-Dog-Brick-Interactive-Treat-Puzzle-Dog-Toy-Blue-One-Size/389121327?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:ZcQMTx_qfwhQuoA5N3jg7m6-K-Geq2fT47pFvrsbmc1IYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAx9Kb4N8tBjOCjajDn9-0p-0Egt7yGQDodmbA4YCoskb3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mhfm645_IVJ57-gyglejnWclNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,11.43,949,700603673334
Hartz Chew 'n Clean,Hartz Chew n Clean Dental Duo Dog Toy,/ip/Hartz-Chew-n-Clean-Dental-Duo-Dog-Toy-Medium-Color-May-Vary/15136631?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:laN1kpJNJIbdnlApEQf0AWRzx3TdDlfF0KS4C2G-hfCdR3a1pUd32HLHulnPGEyAgQSJ6odAn4kKNkJmVifRIPyih1YMjBLXnlNnExxcfasI_TG7tL0Ho5KfEKYhhZe23aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mgjCUhuu8IStM7ofmirws0elNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=4&wpa_plmt=__plmt__&wpa_aduid=__aduid__,3.94,3543,32700054151
Vibrant Life,"Vibrant Life Playful Buddy Emoticon Dog Chew Toy, Chew Level 2, 3 Count",/ip/Vibrant-Life-Playful-Buddy-Emoticon-Dog-Chew-Toy-Chew-Level-2-3-Count/183907365,2.72,7257,681131008754
Hartz Dura Play,Hartz Dura Play Ball Natural Latex Dog Toy,/ip/Hartz-Dura-Play-Ball-Dog-Toy-Large-Color-May-Vary/16458276,2.54,515,32700993931
Outward Hound,Outward Hound Petstages Hide-A-Squirrel and Puzzle Plush Squeaky Dog Toy,/ip/Outward-Hound-Hide-A-Squirrel-Plush-Dog-Toy-Puzzle-Brown-Large/178552890,19.99,491,700603310031
Zippy Paws,"Zippy Paws Happy Hour Crushers - Wine Three Pack - Merlot, Rose, Champange - Plush Dog Toys",/ip/Zippy-Paws-Happy-Hour-Crushers-Wine-Three-Pack-Merlot-Rose-Champange-Plush-Dog-Toys/606916397,16.99,51,818786010218
Outward Hound,Outward Hound Invincibles Plush Dog Toys,/ip/Outward-Hound-Invincibles-Mini-Duck-Plush-Dog-Toy-Yellow-XS/199741402,4.24,9175,700603320115
Zippy Paws,"ZippyPaws Skinny Peltz, No Stuffing Squeaky Dog Toy,  Large 18""",/ip/ZippyPaws-Skinny-Peltz-No-Stuffing-Squeaky-Dog-Toy-Large-18/49252842,10.99,2804,855736003593
Bark Box,BarkBox Stuffed Plush Dog Toy - Full O' Fluff Piata for Medium/Large Dog,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Full-O-Fluff-Pi-ata-for-Medium-Large-Dog/370157966,13.99,100,815944027774
West Paw,West Paw Red Hurley Dog Chew Toy,/ip/West-Paw-Red-Hurley-Dog-Chew-Toy-Small/520387957,13.95,111,747473757535
Bark Box,BarkBox Stuffed Plush Dog Toy - Janspup Backpack,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Janspup-Backpack/799307454,12.99,135,815944029679
DreamBone,DreamBone Chicken Flavored Rawhide-Free Dog Chews,/ip/DreamBone-Chicken-Flavored-Rawhide-Free-Dog-Chews-Mini-22-5-Oz-40-Count/45911860?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:6ikQK939mO-r97T1jObIfSuMeQeh_tThE67AgfVmBeWbOMUedwKb2Pd3XgJcLhgAgQSJ6odAn4kKNkJmVifRIII0Rg_cg0-hzX-h1t2vHtQIy4OMIqxXCa1ZcKtxuL2x3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mgjCUhuu8IStM7ofmirws0elNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=14&wpa_plmt=__plmt__&wpa_aduid=__aduid__,10.98,906,810833023707
Vibrant Life,"Vibrant Life Playful Buddy Pigglesworth Latex Pig Dog Toy, Color May Vary, Chew Level 1",/ip/Vibrant-Life-Playful-Buddy-Pigglesworth-Latex-Pig-Dog-Toy-Color-May-Vary-Chew-Level-1/372655886,4.97,20360,681131285377
